provincia,ano,semana,total_casos,periodo
ALTO AMAZONAS,2018,14,62,2018.2641509433963
ALTO AMAZONAS,2018,15,50,2018.2830188679245
ALTO AMAZONAS,2018,16,62,2018.301886792453
ALTO AMAZONAS,2018,17,50,2018.3207547169811
ALTO AMAZONAS,2018,18,58,2018.3396226415093
ALTO AMAZONAS,2018,19,57,2018.3584905660377
ALTO AMAZONAS,2018,20,52,2018.377358490566
ALTO AMAZONAS,2018,21,43,2018.3962264150944
ALTO AMAZONAS,2018,22,63,2018.4150943396226
ALTO AMAZONAS,2018,23,57,2018.433962264151
ALTO AMAZONAS,2018,24,48,2018.4528301886792
ALTO AMAZONAS,2018,25,38,2018.4716981132076
ALTO AMAZONAS,2018,26,57,2018.4905660377358
ALTO AMAZONAS,2018,27,65,2018.5094339622642
ALTO AMAZONAS,2018,28,49,2018.5283018867924
ALTO AMAZONAS,2018,29,61,2018.5471698113208
ALTO AMAZONAS,2018,30,45,2018.566037735849
ALTO AMAZONAS,2018,31,50,2018.5849056603774
ALTO AMAZONAS,2018,32,100,2018.6037735849056
ALTO AMAZONAS,2018,33,89,2018.622641509434
ALTO AMAZONAS,2018,34,69,2018.6415094339623
ALTO AMAZONAS,2018,35,49,2018.6603773584907
ALTO AMAZONAS,2018,36,64,2018.6792452830189
ALTO AMAZONAS,2018,37,68,2018.698113207547
ALTO AMAZONAS,2018,38,74,2018.7169811320755
ALTO AMAZONAS,2018,39,34,2018.7358490566037
ALTO AMAZONAS,2018,40,28,2018.754716981132
ALTO AMAZONAS,2018,41,26,2018.7735849056603
ALTO AMAZONAS,2018,42,36,2018.7924528301887
ALTO AMAZONAS,2018,43,41,2018.811320754717
ALTO AMAZONAS,2018,44,23,2018.8301886792453
ALTO AMAZONAS,2018,45,36,2018.8490566037735
ALTO AMAZONAS,2018,46,19,2018.867924528302
ALTO AMAZONAS,2018,47,18,2018.8867924528302
ALTO AMAZONAS,2018,48,36,2018.9056603773586
